"Language","original","english","french","russian",
"AX50S_00","Accuracy International AX50","Accuracy International AX50","Accuracy International AX50","Accuracy International AX50",
"AX50S_01","In February 2009, the US SOCOM (United States Special Operations Command) announced a tender for the development and delivery of a new PSR (Precision Sniper Rifle) sniper rifle. Among others, the well-known British company "Accuracy International" (AI) took part in the competition, presenting in early 2010 a new rifle of the "AX" model range. Uses .50BMG "cartridge","In February 2009, the US SOCOM (United States Special Operations Command) announced a tender for the development and delivery of a new PSR (Precision Sniper Rifle) sniper rifle. Among others, the well-known British company "Accuracy International" (AI) took part in the competition, presenting in early 2010 a new rifle of the "AX" model range. Uses .50BMG "cartridge","En février 2009, l'US SOCOM (United States Special Operations Command) a annoncé un appel d'offres pour le développement et la livraison d'un nouveau fusil de précision PSR (Precision Sniper Rifle). Entre autres, la célèbre société britannique "Accuracy International" (AI) a participé au concours en présentant début 2010 un nouveau fusil de la gamme de modèles "AX". Utilise .50BMG "cartouche","В феврале 2009 года US SOCOM (Командование специальных операций США) объявило тендер на разработку и поставку новой снайперской винтовки PSR (Precision Sniper Rifle). В конкурсе приняла участие, в том числе, известная британская компания Accuracy International (AI), представив в начале 2010 года новую винтовку из модельного ряда «AX». Используйте патрон .50BMG ",
"M60_01","American single machine gun, developed in the post-war years and adopted by the Army and Marine Corps in 1957. For design flaws and appearance, he received the nickname English. the pig - "pig". Uses cartridge 7.62x51 (308win)","American single machine gun, developed in the post-war years and adopted by the Army and Marine Corps in 1957. For design flaws and appearance, he received the nickname English. the pig - "pig". Uses cartridge 7.62x51 (308win)","Mitrailleuse américaine unique, développée dans les années d'après-guerre et adoptée par l'Army and Marine Corps en 1957. Pour les défauts de conception et d'apparence, il a reçu le surnom anglais. le cochon - "cochon". Utilise la cartouche 7.62x51 (308win)","Уникальный американский пулемет, разработанный в послевоенные годы и принятый на вооружение армии и морской пехоты в 1957 году. За недостатки конструкции и внешнего вида получил английское прозвище. свинья - «свинья». Использует картридж 7,62x51 (308win)",
"AEK971_01","automatic machine developed in 1978 at the Degtyarev plant in Kovrov under the leadership of Stanislav Ivanovich Koksharov based on the Konstantinov system machine gun, which participated in the 1974 competition. Uses cartridge 5.45x39","automatic machine developed in 1978 at the Degtyarev plant in Kovrov under the leadership of Stanislav Ivanovich Koksharov based on the Konstantinov system machine gun, which participated in the 1974 competition. Uses cartridge 5.45x39","machine automatique développée en 1978 à l'usine Degtyarev de Kovrov sous la direction de Stanislav Ivanovich Koksharov basée sur la mitrailleuse système Konstantinov, qui a participé au concours de 1974. Utilise la cartouche 5.45x39","Автомат разработан в 1978 году на заводе Дегтярева в Коврове под руководством Станислава Ивановича Кокшарова на базе пулемета системы Константинова, участвовавшего в конкурсе 1974 года. Использует патрон 5,45х39",
"AEK971_03","AEK-971 stock","AEK-971 stock","Crosse AEK-971","Сток АЕК-971",
"AEK971_04","AEK-971 assault rifle stock","AEK-971 assault rifle stock","Crosse de fusil d'assaut AEK-971","Приклад для автомата АЕК-971",
"65Creedmore_00","A high-speed and ultra-precise chuck that was developed in the USA in 2006. Used by the army, in sports shooting and hunting","A high-speed and ultra-precise chuck that was developed in the USA in 2006. Used by the army, in sports shooting and hunting","Un mandrin à grande vitesse et ultra-précis qui a été développé aux États-Unis en 2006. Utilisé par l'armée, dans le tir sportif et la chasse","Высокоскоростной сверхточный патрон, разработанный в США в 2006 году. Используется в вооруженных силах, спортивной стрельбе и охоте.",
"65Creedmore_01","Ammo Box 6.5 Creedmoor. Quantity 20 pieces","Ammo Box 6.5 Creedmoor. Quantity 20 pieces","Boîte de munitions 6.5 Creedmoor. Quantité 20 pièces","Ящик с патронами Creedmoor 6.5. Кол-во 20 шт.",
"556х45AP_00","5.56x45AP - armor-piercing","5.56x45AP - armor-piercing","5.56x45AP - perforant","5.56x45AP - перфорация",
"556х45AP_01","Box of armor-piercing cartridges for 20 pieces. Great against light armor","Box of armor-piercing cartridges for 20 pieces. Great against light armor","Boîte de cartouches perforantes pour 20 pièces. Idéal contre les armures légères","Ящик перфорационных патронов на 20 шт. Идеально против легкой брони",
"5556APBox_00","556 AP Box","556 AP Box","Boîte 556 AP","Box 556 AP",
"762x39AP_00","762x39AP - armor piercing","762x39AP - armor piercing","762x39AP - perçage d'armure","762x39AP - бронебойный",
"762x39AP_01","The cartridge was developed in Russia to defeat light armored vehicles of the enemy","The cartridge was developed in Russia to defeat light armored vehicles of the enemy","La cartouche a été développée en Russie pour vaincre les véhicules blindés légers de l'ennemi","Патрон разработан в России для поражения легкой бронетехники противника",
"762x39APBox_00","Box of cartridges 7.62x39AR. Quantity 20 pieces","Box of cartridges 7.62x39AR. Quantity 20 pieces","Boite de cartouches 7.62x39AR. Quantité 20 pièces","Коробка под патроны 7,62х39АР. Кол-во 20 шт.",
